ID,Age,Salary,Experience,Department,City,Gender,Rating,Bonus,Performance,Join_Year,Active
65,59,94408,4,Marketing,Bangalore,Female,3.3,1538,High,2016,No
66,21,104766,1,Marketing,Mumbai,Female,3.4,5029,Medium,2018,Yes
67,46,46708,3,Marketing,Delhi,Female,1.8,10297,Medium,2000,Yes
68,35,38847,26,IT,Mumbai,Male,4.2,10957,Medium,2004,No
69,43,75989,9,Sales,Chennai,Female,2.7,15803,Low,2019,No
70,61,112641,12,Marketing,Mumbai,Female,2.9,14468,Low,2015,No
71,51,24922,1,HR,Pune,Male,5.0,15275,Medium,2021,Yes
72,27,89928,25,Sales,Pune,Male,2.1,7222,Low,2004,Yes
73,53,72335,14,IT,Bangalore,Male,2.6,8707,Low,2022,Yes
74,31,33541,9,Marketing,Pune,Male,3.7,12455,Low,2022,No
75,48,39551,21,IT,Chennai,Female,4.5,8143,Low,2009,Yes
76,32,39381,39,Marketing,Delhi,Female,1.5,12876,Medium,2020,No
77,25,75673,24,HR,Delhi,Female,3.9,8214,Medium,2009,No
78,31,42948,14,Sales,Bangalore,Female,4.7,18280,High,2000,No
79,40,112264,12,HR,Bangalore,Male,2.7,7488,Low,2008,No
80,57,79072,7,Marketing,Pune,Female,2.1,4595,Low,2017,No
81,38,87560,20,Finance,Chennai,Male,3.7,9594,Low,2006,Yes
82,33,102249,20,Sales,Pune,Female,2.0,3301,High,2018,No
83,62,22486,21,IT,Chennai,Male,2.5,14326,High,2021,Yes
84,35,86691,32,Marketing,Chennai,Male,4.6,4048,High,2015,Yes
85,64,30082,26,HR,Delhi,Male,3.4,3584,High,2020,No
86,41,104105,39,Finance,Chennai,Male,1.4,5258,Low,2005,Yes
87,43,27086,21,Marketing,Mumbai,Male,2.3,11302,Low,2009,Yes
88,42,87853,29,IT,Chennai,Male,3.5,17626,Low,2004,No
89,62,90027,8,HR,Delhi,Male,2.9,3350,High,2012,Yes
90,58,35916,34,Sales,Pune,Male,3.6,10331,Medium,2011,Yes
91,46,35248,17,Finance,Chennai,Female,4.0,11559,Medium,2023,Yes
92,32,88047,4,Marketing,Mumbai,Male,2.9,18429,Low,2016,No
93,62,44226,26,Marketing,Bangalore,Female,4.9,14775,Medium,2001,No
94,18,45025,5,Marketing,Pune,Male,4.7,10678,High,2004,No
95,42,68380,31,Marketing,Bangalore,Female,1.2,10156,High,2021,No
96,24,27848,7,HR,Mumbai,Female,2.1,3665,Low,2009,Yes
97,26,34274,38,Sales,Delhi,Male,2.2,15321,Medium,2000,No
98,41,74545,20,IT,Delhi,Female,1.7,19395,Low,2011,No
99,18,116494,17,Finance,Pune,Female,2.2,14129,High,2013,No
100,61,55233,13,Marketing,Chennai,Female,2.7,12599,Medium,2022,Yes
101,25,36304,14,Marketing,Chennai,Male,1.2,7526,High,2007,No
102,41,31294,25,Sales,Bangalore,Male,1.5,6245,Medium,2016,No
103,28,46425,31,Sales,Delhi,Male,1.4,16075,Low,2010,Yes
104,34,88711,38,HR,Chennai,Male,1.2,2394,High,2019,Yes
105,25,113311,27,HR,Chennai,Female,2.9,15744,Low,2001,No
106,52,29425,38,HR,Delhi,Female,2.3,10020,High,2004,No
107,52,111549,31,Finance,Delhi,Female,4.7,19459,Medium,2017,Yes
108,50,113464,12,HR,Mumbai,Female,1.4,3896,Medium,2008,Yes
109,22,64990,14,Marketing,Bangalore,Male,4.7,13737,High,2008,No
110,59,93746,17,HR,Delhi,Male,1.3,13814,High,2009,Yes
111,56,88295,38,Finance,Mumbai,Male,3.5,1375,High,2020,No
112,58,36091,5,HR,Delhi,Male,2.0,15300,Medium,2020,Yes
113,45,20002,10,HR,Pune,Female,4.3,4990,Low,2003,Yes
114,24,70411,31,Marketing,Pune,Female,1.2,15861,Low,2016,Yes
115,26,60958,39,Marketing,Pune,Female,4.8,11283,High,2011,Yes
116,25,115696,19,Marketing,Delhi,Male,1.2,16813,Low,2002,Yes
117,29,40707,32,HR,Chennai,Female,2.0,10077,Low,2003,Yes
118,51,35248,39,Marketing,Chennai,Female,2.9,7259,Low,2022,Yes
119,50,91309,7,Sales,Pune,Female,4.0,4706,Low,2006,No
120,40,98322,34,IT,Bangalore,Female,4.8,1994,Medium,2022,No
121,41,71720,4,IT,Mumbai,Female,2.7,3489,Medium,2022,No
122,54,35037,34,Marketing,Pune,Female,4.0,3661,Medium,2010,No
123,52,87421,13,Finance,Mumbai,Male,3.9,16363,High,2003,Yes
124,61,101867,20,Marketing,Mumbai,Female,3.3,16344,High,2019,Yes
125,57,60612,23,Marketing,Pune,Male,3.8,4515,Medium,2005,No
126,39,108031,16,HR,Chennai,Male,1.2,6010,Low,2000,Yes
127,44,33450,17,Finance,Bangalore,Male,2.8,6515,Medium,2000,Yes
128,52,29491,33,Marketing,Pune,Female,4.1,8920,Low,2005,Yes
129,18,94804,11,Sales,Mumbai,Female,2.9,19310,Low,2000,Yes
130,52,113293,15,IT,Delhi,Male,4.5,6076,Medium,2014,No
131,54,26791,3,Sales,Delhi,Female,4.3,17612,High,2000,No
132,64,48314,24,Sales,Mumbai,Female,4.5,12403,Low,2005,Yes
133,31,71883,33,Sales,Pune,Female,1.5,13102,Low,2023,Yes
134,20,114119,27,Finance,Chennai,Male,2.0,7585,Medium,2008,No
135,18,107086,10,Finance,Pune,Female,1.1,15910,Low,2005,Yes
136,22,85629,12,Finance,Bangalore,Female,4.9,2294,Low,2016,No
137,43,29967,30,IT,Delhi,Male,1.9,18932,Medium,2022,Yes
138,31,101754,24,HR,Mumbai,Male,2.5,17900,Low,2017,Yes
139,56,63220,38,Marketing,Chennai,Female,2.1,14231,High,2022,Yes
140,44,94163,9,Marketing,Pune,Female,1.2,16903,High,2019,Yes
141,26,24947,23,HR,Bangalore,Male,2.0,15516,High,2000,No
142,32,59419,0,Marketing,Pune,Male,1.4,12247,Medium,2015,Yes
143,32,76131,24,Sales,Bangalore,Male,2.6,15868,Medium,2015,No
144,43,108714,27,IT,Pune,Female,4.9,4009,High,2000,Yes
145,59,48876,35,Marketing,Chennai,Female,3.8,9163,Medium,2006,No
146,30,108444,17,IT,Chennai,Female,3.8,19364,Medium,2013,Yes
147,49,39971,5,HR,Mumbai,Female,2.8,6557,Medium,2014,No
148,56,82539,1,Marketing,Chennai,Female,4.2,9416,High,2005,No
149,49,118120,2,IT,Bangalore,Female,4.6,3250,Medium,2022,Yes
150,21,69228,7,Sales,Mumbai,Male,4.8,16400,Medium,2016,Yes
151,47,94495,30,Sales,Chennai,Female,1.4,12173,High,2016,Yes
152,54,48261,18,HR,Delhi,Female,4.5,9327,High,2005,No
153,40,81260,5,Finance,Bangalore,Male,1.9,14795,Medium,2012,No
154,56,101371,13,Marketing,Mumbai,Male,2.6,6152,Medium,2023,No
155,62,104793,2,Sales,Bangalore,Male,2.4,10244,Low,2010,Yes
156,32,23346,0,Sales,Mumbai,Male,3.7,7588,High,2018,No
157,60,116343,29,HR,Bangalore,Male,3.4,18777,Low,2009,Yes
158,46,115954,18,Sales,Delhi,Male,1.4,17310,Low,2001,No
159,53,76176,18,Marketing,Chennai,Male,4.1,1370,Low,2019,No
160,30,72300,8,HR,Pune,Male,2.8,19043,Low,2007,Yes
161,49,31340,6,IT,Pune,Male,1.0,10113,High,2014,No
162,24,53012,36,HR,Pune,Female,2.7,8657,High,2008,Yes
163,39,55393,6,Marketing,Mumbai,Female,3.1,18660,High,2012,Yes
164,45,95133,8,Marketing,Chennai,Female,1.3,7629,Low,2021,No
165,19,45557,3,IT,Mumbai,Male,1.6,11678,High,2022,No
166,59,84204,24,HR,Mumbai,Female,5.0,9793,High,2014,No
167,62,93273,11,Marketing,Mumbai,Male,4.5,11257,High,2014,No
168,23,37276,5,Marketing,Mumbai,Male,1.5,17592,Medium,2000,Yes
169,45,74639,17,IT,Chennai,Male,3.3,15862,Low,2004,Yes
170,45,27310,39,Finance,Pune,Male,2.5,15570,High,2014,No
171,61,55167,20,HR,Bangalore,Female,3.2,4206,High,2021,No
172,61,104880,14,Marketing,Mumbai,Female,2.9,1210,Low,2013,No
173,37,30391,2,Sales,Chennai,Male,1.2,12815,Low,2005,No
174,47,70621,1,IT,Delhi,Female,2.3,17656,High,2005,Yes
175,28,30892,39,Finance,Bangalore,Female,1.5,7287,Medium,2022,Yes
176,45,96733,3,Finance,Mumbai,Male,3.0,10918,High,2019,No
177,42,98586,31,IT,Mumbai,Female,4.6,4579,Medium,2004,No
178,56,56142,1,Finance,Bangalore,Female,5.0,11973,Low,2021,Yes
179,50,65679,28,Marketing,Bangalore,Female,4.8,8501,Low,2008,No
180,18,61615,1,Finance,Mumbai,Male,4.9,9693,Medium,2019,Yes
181,44,67553,33,HR,Chennai,Female,1.1,4825,Low,2019,Yes
182,30,99071,26,Sales,Delhi,Female,3.9,11065,Medium,2006,Yes
183,58,61002,38,Marketing,Chennai,Male,2.1,18493,High,2015,No
184,20,90658,37,IT,Pune,Female,4.5,4064,High,2016,Yes
185,56,29852,17,Sales,Pune,Female,4.3,4151,Low,2022,No
186,23,25387,35,Marketing,Pune,Male,2.7,15128,Low,2007,No
187,25,117295,18,Sales,Mumbai,Male,2.9,9143,Low,2017,No
188,44,59994,26,Finance,Delhi,Female,2.1,14465,Medium,2019,Yes
189,26,53725,19,IT,Delhi,Male,2.2,15634,Low,2012,No
190,54,92682,20,IT,Mumbai,Female,4.9,18733,High,2013,Yes
191,50,20560,22,HR,Mumbai,Male,4.6,14042,High,2003,No
192,59,76565,29,Finance,Mumbai,Male,1.8,9200,High,2009,Yes
193,61,21312,24,HR,Delhi,Male,2.1,4499,Medium,2009,No
194,41,38205,30,HR,Mumbai,Female,1.4,10305,High,2005,No
195,32,31595,26,Finance,Bangalore,Female,5.0,12683,High,2006,Yes
196,49,107566,33,Marketing,Bangalore,Male,4.6,14314,Low,2006,No
197,49,41329,7,HR,Bangalore,Male,3.2,16285,High,2003,No
198,41,88187,18,Sales,Mumbai,Female,3.8,5587,Low,2018,Yes
199,58,95542,25,Marketing,Bangalore,Male,4.0,8874,High,2019,No
200,29,55645,27,Finance,Mumbai,Male,1.8,8161,High,2008,No
201,56,107502,3,IT,Bangalore,Male,4.7,18060,Low,2022,No
202,19,113382,30,Marketing,Mumbai,Female,3.1,3772,Low,2018,No
203,20,107310,15,HR,Chennai,Female,1.4,15244,High,2015,No
204,54,89619,9,Sales,Pune,Male,2.6,2383,Medium,2002,No
205,34,53513,37,Finance,Chennai,Male,3.4,11434,Medium,2004,No
206,19,28749,9,IT,Pune,Female,2.4,1498,Low,2023,No
207,19,50783,8,Sales,Pune,Female,3.8,7711,Low,2004,Yes
208,45,80645,38,IT,Bangalore,Male,4.5,10832,High,2005,No
209,40,102861,35,Finance,Pune,Male,4.1,2854,Medium,2008,No
210,54,73175,35,Marketing,Pune,Male,3.6,17087,Medium,2008,Yes
211,49,104216,18,HR,Chennai,Female,3.0,2069,High,2021,Yes
212,50,82709,18,Finance,Pune,Male,2.0,10787,Medium,2011,Yes
213,18,37323,11,Sales,Mumbai,Female,2.8,13019,High,2015,Yes
214,36,70762,12,Marketing,Mumbai,Male,2.2,9538,High,2015,No
215,19,108220,24,IT,Bangalore,Male,4.7,7589,Low,2004,Yes
216,61,84222,35,Marketing,Chennai,Male,4.6,11414,High,2023,Yes
217,43,54493,24,Marketing,Delhi,Female,1.6,18212,Medium,2000,Yes
218,49,78328,27,Sales,Chennai,Female,4.3,19070,Medium,2002,Yes
219,23,32213,38,HR,Delhi,Male,3.8,15134,High,2005,No
220,49,117367,29,Marketing,Pune,Male,4.9,8464,Low,2007,No
221,21,66930,4,Marketing,Delhi,Male,2.9,10667,Medium,2015,Yes
222,28,47713,16,HR,Pune,Female,3.9,10636,Low,2005,No
223,34,92723,17,HR,Chennai,Male,3.1,3698,High,2013,No
224,55,118336,20,IT,Chennai,Male,1.3,4906,High,2009,Yes
225,41,52583,21,IT,Bangalore,Female,1.2,18007,Medium,2021,No
226,22,99944,38,HR,Bangalore,Female,1.5,17541,Medium,2003,No
227,51,42369,5,Finance,Pune,Male,2.2,6821,Low,2011,Yes
228,23,67928,15,HR,Pune,Female,2.0,13246,High,2006,No
229,39,88950,1,IT,Mumbai,Female,3.9,13096,Low,2006,Yes
230,28,39510,0,Sales,Mumbai,Female,3.9,13296,Medium,2015,No
231,33,32120,29,Sales,Mumbai,Female,4.9,3636,Medium,2000,No
232,50,119847,36,Marketing,Chennai,Female,2.2,11231,Low,2015,Yes
233,26,118575,22,Sales,Delhi,Female,4.8,12052,High,2002,No
234,23,25295,0,IT,Pune,Female,3.5,5190,Medium,2014,Yes
235,33,40460,18,Sales,Bangalore,Female,3.0,10492,High,2005,No
236,46,34963,2,Finance,Pune,Male,3.7,6068,Medium,2012,Yes
237,20,97116,1,HR,Delhi,Male,3.8,5212,High,2019,No
238,37,107822,36,HR,Pune,Female,1.7,18863,Medium,2007,Yes
239,53,47328,16,IT,Bangalore,Female,4.0,19756,High,2011,Yes
240,36,104629,27,Marketing,Bangalore,Male,3.9,19327,High,2022,No
241,43,41605,17,HR,Delhi,Male,5.0,2442,Medium,2013,No
242,20,64813,32,Sales,Bangalore,Male,4.6,4989,High,2015,No
243,36,66371,14,Finance,Chennai,Male,3.7,5902,High,2013,Yes
244,37,67598,21,Marketing,Bangalore,Male,3.8,13086,Medium,2015,Yes
245,49,80776,26,Marketing,Delhi,Female,4.8,16805,Low,2005,No
246,24,92258,36,Marketing,Delhi,Female,4.9,1550,Medium,2003,Yes
247,58,60969,31,HR,Pune,Male,4.3,11643,Low,2019,No
248,50,56912,18,Marketing,Bangalore,Female,4.1,11343,Medium,2023,Yes
249,57,58374,27,IT,Bangalore,Male,1.4,11382,Low,2018,Yes
250,56,92302,27,Sales,Delhi,Male,4.3,14204,Low,2007,No
251,35,82784,9,Finance,Pune,Female,2.0,11785,Medium,2003,No
252,57,69882,19,Sales,Pune,Female,3.3,15194,High,2002,Yes
253,18,35928,24,IT,Chennai,Female,2.6,18207,Medium,2012,Yes
254,28,41274,20,IT,Chennai,Female,2.4,2106,Low,2003,Yes
255,45,54416,13,Sales,Delhi,Male,2.2,17180,Low,2010,Yes
256,42,106148,21,HR,Pune,Female,4.4,17109,Low,2015,Yes
257,40,80998,25,IT,Pune,Male,4.1,19603,Medium,2014,Yes
258,48,49047,10,Marketing,Chennai,Female,3.1,12961,Low,2001,No
259,47,63356,6,Finance,Chennai,Female,3.7,17745,High,2014,No
260,59,57134,16,Finance,Delhi,Male,4.9,10955,High,2005,Yes
261,52,87042,17,IT,Pune,Male,2.6,13419,High,2014,No
262,24,71310,6,Marketing,Delhi,Male,3.2,3957,Medium,2012,Yes
263,33,100758,19,Sales,Chennai,Female,3.1,8086,High,2002,Yes
264,43,32363,37,Finance,Bangalore,Male,4.7,15944,Medium,2018,Yes
265,19,105149,10,Marketing,Chennai,Female,2.4,16124,Low,2011,Yes
266,18,64563,15,Marketing,Pune,Male,4.9,10612,Medium,2011,No
267,29,50628,26,HR,Delhi,Male,2.2,7337,High,2016,No
268,22,89672,10,IT,Pune,Female,1.4,1463,Medium,2023,Yes
269,54,66246,15,Marketing,Chennai,Female,1.8,18762,Medium,2007,No
270,49,31161,22,Sales,Chennai,Male,2.7,14484,Medium,2012,Yes
271,26,109110,11,Finance,Mumbai,Male,3.6,8507,Medium,2011,Yes
272,58,112438,39,HR,Chennai,Female,3.1,11432,Low,2015,No
273,52,22810,2,Sales,Pune,Female,2.5,13281,Medium,2020,Yes
274,36,79860,1,Finance,Delhi,Male,3.2,6549,Medium,2010,Yes
275,33,97199,37,IT,Delhi,Male,4.4,11626,Medium,2019,Yes
276,20,91688,23,Sales,Mumbai,Female,4.4,14288,Low,2008,No
277,37,85548,28,Finance,Pune,Male,3.9,8635,Low,2018,Yes
278,41,82363,33,HR,Chennai,Male,4.8,15099,Low,2019,No
279,50,31162,19,Finance,Bangalore,Female,3.4,2795,Medium,2007,No
280,41,107858,17,Marketing,Delhi,Male,1.0,16886,Medium,2012,Yes
281,28,93535,13,HR,Pune,Female,2.2,13088,Low,2001,No
282,25,27219,17,Sales,Mumbai,Female,2.3,16788,Medium,2018,Yes
283,53,90864,1,IT,Bangalore,Male,3.2,18178,Medium,2012,Yes
284,55,23621,0,HR,Pune,Female,4.6,4067,Low,2018,No
285,57,109792,19,HR,Chennai,Female,4.4,12479,Low,2010,No
286,37,64433,33,HR,Delhi,Female,1.9,13543,High,2023,No
287,52,96850,10,Finance,Chennai,Male,3.1,14390,Low,2001,No
288,42,86188,26,Marketing,Mumbai,Male,3.6,11629,Low,2007,Yes
289,52,74951,22,IT,Delhi,Male,5.0,16889,Low,2006,No
290,42,101718,37,IT,Bangalore,Female,1.1,16664,Low,2000,Yes
291,46,56558,2,Marketing,Delhi,Female,2.9,18108,Medium,2013,No
292,35,35659,11,Finance,Chennai,Male,5.0,15231,Low,2007,Yes
293,63,54413,29,Finance,Pune,Male,4.9,18616,Medium,2000,Yes
294,35,30435,30,Marketing,Pune,Female,2.3,12274,Medium,2016,Yes
295,19,73911,22,Marketing,Pune,Male,1.0,1539,Low,2020,No
296,52,48067,0,Sales,Mumbai,Female,3.3,7999,Low,2023,Yes
297,33,107794,19,Finance,Mumbai,Male,4.5,1108,High,2003,No
298,58,113823,5,HR,Pune,Male,2.3,3071,Medium,2005,No
299,53,89224,10,IT,Bangalore,Male,4.7,10888,Low,2000,No
300,50,93225,34,Finance,Chennai,Male,2.3,12229,Medium,2002,No
301,21,21379,3,Marketing,Bangalore,Female,3.4,3419,High,2020,No
302,50,47624,28,HR,Pune,Male,3.9,2188,Low,2001,No
303,31,111500,9,Sales,Chennai,Female,2.4,7540,High,2016,Yes
304,38,108427,28,Sales,Mumbai,Female,2.4,16983,Medium,2008,Yes
305,37,77745,37,HR,Delhi,Male,2.9,8594,High,2007,Yes
306,25,71805,0,HR,Delhi,Female,4.3,8240,High,2018,Yes
307,24,32516,39,Marketing,Chennai,Female,1.4,4694,Medium,2014,No
308,20,99422,7,Marketing,Bangalore,Male,3.5,12788,Medium,2005,Yes
309,34,105843,37,IT,Chennai,Male,3.7,17454,Medium,2023,Yes
310,50,44843,16,IT,Bangalore,Male,3.2,9683,Medium,2005,No
311,29,25912,18,Sales,Bangalore,Male,4.7,17857,Medium,2007,No
312,39,41514,32,HR,Delhi,Male,3.4,13273,Medium,2002,Yes
313,39,107359,14,Sales,Mumbai,Male,3.5,17162,High,2011,No
314,63,77032,30,Marketing,Pune,Female,3.4,13311,Medium,2019,No
315,47,48797,20,Finance,Mumbai,Female,3.9,9660,Medium,2007,No
316,55,26449,2,Marketing,Pune,Male,1.5,18844,Medium,2010,Yes
317,55,21725,1,Finance,Delhi,Female,4.6,7525,Medium,2014,No
318,62,101406,34,HR,Pune,Female,1.2,18823,Low,2012,Yes
319,25,29304,15,HR,Bangalore,Female,3.6,2028,High,2023,No
320,44,93058,20,HR,Chennai,Male,3.5,15725,High,2021,No
321,44,33663,11,IT,Pune,Male,1.8,1722,Low,2012,Yes
322,51,90320,27,IT,Mumbai,Male,1.2,16849,High,2013,Yes
323,38,95008,11,Finance,Delhi,Male,1.6,19435,High,2021,Yes
324,47,114488,32,Sales,Delhi,Female,2.1,10929,Medium,2008,No
325,50,95591,19,Sales,Chennai,Male,4.5,11816,High,2023,Yes
326,45,115044,39,Finance,Bangalore,Male,4.4,7690,Low,2002,Yes
327,64,32676,20,IT,Bangalore,Male,1.3,9151,High,2022,No
328,50,45192,38,Marketing,Delhi,Female,2.2,7699,Low,2011,No
329,22,44722,35,Finance,Bangalore,Female,4.6,10478,Low,2008,Yes
330,36,27446,21,Sales,Chennai,Female,1.9,15997,High,2011,Yes
331,21,24725,25,Finance,Delhi,Male,5.0,2888,Medium,2010,Yes
332,52,105597,6,Finance,Bangalore,Male,2.0,9593,Low,2018,Yes
333,34,108207,6,HR,Pune,Female,4.0,19916,High,2008,Yes
334,61,77632,7,IT,Pune,Female,2.7,9544,High,2004,No
335,45,86945,25,HR,Bangalore,Female,1.5,18056,Medium,2009,Yes
336,47,93741,23,IT,Pune,Male,2.0,12076,Medium,2008,Yes
337,46,36365,23,Finance,Chennai,Male,3.7,17648,High,2000,No
338,63,85792,39,IT,Mumbai,Female,2.3,2065,Medium,2012,Yes
339,23,84857,11,Sales,Chennai,Female,3.4,14510,Low,2019,No
340,52,35704,7,HR,Chennai,Female,1.8,12646,High,2011,Yes
341,58,70575,8,Finance,Bangalore,Male,2.8,17590,Medium,2010,Yes
342,54,49902,2,Sales,Chennai,Male,3.0,6862,High,2008,No
343,41,21195,20,IT,Bangalore,Female,2.7,7215,Medium,2014,No
344,46,73517,30,IT,Delhi,Female,1.8,9599,Low,2012,No
345,63,54012,23,Sales,Bangalore,Male,2.8,10851,High,2011,No
346,48,31415,3,IT,Bangalore,Female,3.8,3756,Medium,2013,Yes
347,52,59534,19,HR,Delhi,Male,4.9,9470,Low,2008,Yes
348,50,41686,15,Marketing,Mumbai,Male,4.2,16798,Low,2021,No
349,38,97198,9,IT,Delhi,Female,1.6,2889,Medium,2009,Yes
350,49,48743,25,Finance,Bangalore,Male,2.1,9242,High,2005,No
351,40,52161,28,IT,Pune,Male,1.3,16921,Medium,2018,Yes
352,50,81313,4,Finance,Bangalore,Male,1.5,9515,Medium,2009,Yes
353,20,22402,10,IT,Delhi,Male,2.0,13252,Low,2014,No
354,35,83190,28,IT,Bangalore,Male,1.8,11614,Medium,2020,No
355,42,72551,14,Finance,Delhi,Male,1.9,14161,Medium,2007,No
356,59,33275,5,HR,Chennai,Female,1.9,2804,High,2017,No
357,48,48182,14,Marketing,Mumbai,Male,2.2,8845,Medium,2001,No
358,20,34915,19,Marketing,Mumbai,Male,1.5,18828,High,2003,No
359,57,20909,33,HR,Delhi,Male,2.1,16273,Medium,2008,No
360,63,85908,1,IT,Mumbai,Male,3.8,13663,Low,2015,No
361,41,42620,15,Marketing,Pune,Male,1.9,11348,Medium,2004,No
362,49,54112,18,HR,Pune,Female,1.7,2778,High,2018,Yes
363,64,94051,33,HR,Mumbai,Male,1.3,3538,High,2014,No
364,39,22431,13,Marketing,Delhi,Male,3.0,8803,Medium,2023,No
365,40,106590,23,Finance,Pune,Female,4.4,12486,Medium,2014,No
366,19,82175,27,Sales,Mumbai,Male,1.2,11788,Medium,2011,Yes
367,44,52624,31,Finance,Bangalore,Female,3.2,6336,High,2015,No
368,59,96121,36,IT,Pune,Female,3.6,16972,High,2010,Yes
369,19,81264,9,Finance,Chennai,Male,3.4,12860,Low,2006,No
370,43,51958,8,Sales,Pune,Female,4.5,7120,Medium,2015,No
371,34,21695,23,Sales,Mumbai,Female,4.5,6529,High,2009,Yes
372,57,69932,35,HR,Mumbai,Male,1.2,8357,High,2021,Yes
373,50,119323,28,IT,Mumbai,Male,2.4,10154,High,2017,Yes
374,26,64225,28,HR,Delhi,Female,3.7,2329,High,2015,Yes
375,60,21403,22,Finance,Delhi,Female,4.8,16208,Low,2000,Yes
